ID,MakeText,ModelText,ModelTypeText,TypeName,TypeNameFull,ConsumptionRatingText,FirstRegYear,Doors,InteriorColorText,Co2EmissionText,FirstRegMonth,Seats,ConsumptionTotalText,Ccm,ConditionTypeText,Properties,BodyColorText,DriveTypeText,TransmissionTypeText,Km,Hp,BodyTypeText,FuelTypeText,City
1028.0,AUDI,S7,S7 Sportback 4.0 TFSI V8 quattro,S7 Sportback 4.0 TFSI V8 quattro,AUDI S7 Sportback 4.0 TFSI V8 quattro,G,2014,5,schwarz,225 g/km,3,4,9.6 l/100km,3993,Occasion,"""Ab MFK"", ""Direkt-/Parallelimport""",silber mét.,Allrad,Automatisiertes Schaltgetriebe,3600,420,Limousine,Benzin,Zuzwil
1029.0,BENTLEY,ARNAGE,Arnage T,Arnage T,BENTLEY Arnage T,G,2006,4,schwarz,495 g/km,3,5,20.6 l/100km,6761,Occasion,null,silber mét.,Hinterradantrieb,Automat,15600,457,Limousine,Benzin,Basel
103.0,AUDI,RS4,RS4 4.2 V8 quattro,RS4 4.2 V8 quattro,AUDI RS4 4.2 V8 quattro,G,2006,4,mehrfarbig,324 g/km,5,5,13.5 l/100km,4163,Occasion,"""Ab MFK""",blau mét.,Allrad,Schaltgetriebe manuell,108200,420,Limousine,Benzin,Zuzwil
1030.0,MERCEDES-BENZ,E 55 AMG,E 55 AMG Avantgarde,E 55 AMG Avantgarde,MERCEDES-BENZ E 55 AMG Avantgarde,G,2002,4,schwarz,310 g/km,10,5,12.9 l/100km,5439,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,52400,476,Limousine,Benzin,Zuzwil
1031.0,PORSCHE,911,911 Turbo,911 Turbo,PORSCHE 911 Turbo,G,2001,2,blau,309 g/km,5,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,60800,420,Coupé,Benzin,Zuzwil
1032.0,BMW,645,645i,645i,BMW 645i,null,2004,2,schwarz,283 g/km,1,4,11.7 l/100km,4398,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatik-Getriebe,79100,333,Coupé,Benzin,Zuzwil
1033.0,PORSCHE,911,911 GT3,911 GT3,PORSCHE 911 GT3,null,2000,2,schwarz,320 g/km,1,4,12.9 l/100km,3600,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,77000,360,Coupé,Benzin,Zuzwil
1034.0,MERCEDES-BENZ,E 420,E 420 Avantgarde,E 420 Avantgarde,MERCEDES-BENZ E 420 Avantgarde,null,1996,4,schwarz,326 g/km,11,5,14.3 l/100km,4196,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,87800,279,Limousine,Benzin,Zuzwil
1035.0,PORSCHE,911,911 Carrera 4 S,911 Carrera 4 S,PORSCHE 911 Carrera 4 S,G,2002,2,blau,277 g/km,3,4,11.4 l/100km,3596,Occasion,"""Ab MFK""",silber mét.,Allrad,Schaltgetriebe manuell,68100,320,Coupé,Benzin,Zuzwil
1036.0,ASTON MARTIN,DB9,DB9 Volante,DB9 Volante,ASTON MARTIN DB9 Volante,G,2013,2,schwarz,333 g/km,5,4,14.3 l/100km,5935,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat sequentiell,17000,518,Cabriolet,Benzin,Zuzwil
1037.0,TRIUMPH,Dolomite,Dolomite Sprint,Sprint,TRIUMPH Dolomite Sprint,null,1977,4,schwarz,null,7,5,null,1997,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,12800,128,Limousine,Benzin,Zuzwil
1038.0,MERCEDES-BENZ,SL 500,SL 500,SL 500,MERCEDES-BENZ SL 500,null,1996,2,beige,340 g/km,6,0,14.3 l/100km,4973,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automat,74400,320,Cabriolet,Benzin,Zuzwil
1039.0,BMW,M6,M6,M6,BMW M6,G,2007,2,weiss,366 g/km,2,4,15.2 l/100km,4999,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Automatisiertes Schaltgetriebe,32000,507,Cabriolet,Benzin,Zuzwil
104.0,AUDI,RS4,RS4 Avant quattro,RS4 Avant quattro,AUDI RS4 Avant quattro,G,2001,5,schwarz,288 g/km,7,5,12.0 l/100km,2671,Occasion,"""Ab MFK""",blau mét.,Allrad,Schaltgetriebe manuell,57500,380,Kombi,Benzin,Zuzwil
1040.0,PORSCHE,911,911 GT2,911 GT2,PORSCHE 911 GT2,G,2001,2,schwarz,309 g/km,11,4,12.9 l/100km,3600,Occasion,null,silber mét.,Hinterradantrieb,Schaltgetriebe manuell,49900,462,Coupé,Benzin,Zuzwil
1041.0,RENAULT,ALPINE,Alpine A310 V6,Alpine A310 V6,RENAULT Alpine A310 V6,null,1983,2,beige,null,3,4,null,2664,Occasion,"""Ab MFK""",silber mét.,Hinterradantrieb,Schaltgetriebe manuell,69000,150,Coupé,Benzin,Zuzwil
