carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Purple,Occasion,CHF,,Zuzwil,CH,Jaguar,1956,5300,kilometer,,D-Type XKD525,,car,,7,
Coupé,Purple,Occasion,CHF,,Zuzwil,CH,Chevrolet,1967,21300,kilometer,Corvette,C2,,car,,6,
Other,Purple,Occasion,CHF,,Zuzwil,CH,Renault,1982,77900,kilometer,R5,R5 1400 Alpine Turbo,,car,,3,
Other,Purple,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,67400,kilometer,E 50 Amg,E 50 AMG Avantgarde,,car,,3,l/100km
Coupé,Purple,Occasion,CHF,,Porrentruy,CH,Lamborghini,1999,44500,kilometer,Diablo,Diablo 5.7 SV,,car,,1,l/100km
Other,Purple,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,32000,kilometer,S 500,S 500,,car,,10,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Maserati,2002,95300,kilometer,Coupé Gt,Coupé GT,,car,,7,l/100km
Convertible / Roadster,White,Vorführmodell,CHF,,Zuzwil,CH,Aston Martin,2010,9000,kilometer,V8 Vantage,V8 Vantage 4.7,,car,,7,l/100km
SUV,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,148300,kilometer,Ml 400,ML 400 CDI,,car,,2,l/100km
Other,Other,Neu,CHF,,Benzin,CH,Audi,2014,Automat sequentiell,kilometer,Rs6,RS6 Avant 4.0 TFSI V8 qu,,car,,4,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Triumph,1977,10800,kilometer,Dolomite,Sprint,,car,,6,
SUV,White,Occasion,CHF,,Zuzwil,CH,Porsche,2003,115000,kilometer,Cayenne,Cayenne S,,car,,3,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Maserati,2003,78300,kilometer,Spyder Gt,Spyder GT,,car,,5,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2004,95300,kilometer,A4,A4 3.0 V6,,car,,2,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2003,101300,kilometer,A8,A8 4.2 quattro,,car,,9,l/100km
Coupé,White,Oldtimer,CHF,,Zuzwil,CH,Renault,1979,11200,kilometer,Alpine,A310 2700 VA,,car,,11,
Coupé,White,Occasion,CHF,,Zuzwil,CH,Ferrari,2007,26000,kilometer,575M,575M,,car,,5,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,43000,kilometer,Sl 600,SL 600,,car,,1,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,47500,kilometer,Clk 55 Amg,CLK 55 AMG Avantgarde,,car,,11,l/100km
SUV,White,Neu,CHF,,Zuzwil,CH,Porsche,2007,10,kilometer,Cayenne,Cayenne Turbo,,car,,1,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Maserati,2003,61400,kilometer,Coupé Gt,Coupé GT,,car,,8,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,BMW,2000,49700,kilometer,330,330i,,car,,9,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,94000,kilometer,Cl 600,CL 600,,car,,11,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,1997,94700,kilometer,A8,A8 4.2 quattro,,car,,3,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Porsche,2011,14000,kilometer,911,911 Turbo S Cabrio,,car,,7,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Mclaren,2012,23000,kilometer,12C,MP4-12C Coupé 3.8 V8,,car,,3,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Ferrari,2012,11700,kilometer,458,458 Spider Italia 4.5 V8,,car,,1,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Audi,2008,120000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,7,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Ferrari,2007,22000,kilometer,599,599 GTB,,car,,4,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,46000,kilometer,S 63 Amg,S 63 AMG L,,car,,4,l/100km
Convertible / Roadster,White,Occasion,CHF,,Zuzwil,CH,Chevrolet,1961,67000,kilometer,Corvette,C1,,car,,1,
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Ruf,2007,36000,kilometer,,RT 12,,car,,6,
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2002,Automat,kilometer,Rs6,RS6 Avant quattro,,car,,10,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,62300,kilometer,S 500,S 500 4Matic,,car,,11,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Bentley,2000,34900,kilometer,Arnage,Arnage Green Label,,car,,7,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,BMW,1998,85400,kilometer,740,740i,,car,,4,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,De Tomaso,1974,68100,kilometer,Pantera,null,,car,,9,
Other,White,Occasion,CHF,,Zuzwil,CH,Jaguar,1996,99900,kilometer,Xj,XJR 4.0 Supercharged,,car,,1,l/100km
SUV,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,37500,kilometer,Ml 500,ML 500 4Matic,,car,,12,l/100km
Coupé,White,Occasion,CHF,,Zuzwil,CH,Delorean,1981,15000,kilometer,,De Lorean DMC-12,,car,,4,
Other,White,Occasion,CHF,,Zuzwil,CH,Porsche,2009,30300,kilometer,Panamera,Panamera Turbo 4.8,,car,,9,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Autobianchi,1974,9999,kilometer,A112,Abarth Serie II,,car,,6,
Convertible / Roadster,White,Oldtimer,CHF,,Zuzwil,CH,Alfa Romeo,1970,106000,kilometer,Spider,1300 Junior,,car,,3,
Other,Blue,Occasion,CHF,,Zuzwil,CH,VW,2003,37800,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,1,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Chevrolet,2007,34500,kilometer,Silverado,2500HD 6.6l V8,,car,,2,
Coupé,White,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,73400,kilometer,Cl 600,CL 600,,car,,1,l/100km
Other,White,Occasion,CHF,,Zuzwil,CH,Bentley,2000,85700,kilometer,Arnage,Red Label,,car,,10,
