carType,color,condition,currency,drive,city,country,make,manufacture_year,mileage,mileage_unit,model,model_variant,price_on_request,type,zip,manufacture_month,fuel_consumption_unit
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2011,79500,kilometer,Cl 500,CL 500 4Matic,,car,,1,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,VW,2000,1,kilometer,Beetle,New Beetle Cup,,car,,9,
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2003,127000,kilometer,Cayenne,Cayenne Turbo,,car,,4,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,128800,kilometer,S 500,S 500 L,,car,,6,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,6000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2002,38500,kilometer,Rs6,RS6 Avant quattro,,car,,11,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Mg,1968,48800,kilometer,Mgc,GT,,car,,8,
Other,Other,Occasion,CHF,,Zuzwil,CH,Audi,1997,125400,kilometer,A8,A8 4.2 quattro,,car,,9,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,1978,51000,kilometer,924,null,,car,,4,
Coupé,Gray,Oldtimer,CHF,,Zuzwil,CH,Ford,1927,1,kilometer,,T - Roadster,,car,,1,
Coupé,Gray,Vorführmodell,CHF,,Zuzwil,CH,Mercedes-Benz,2001,100,kilometer,Clk 430,CLK 430 Elégance,,car,,1,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,VW,2011,36300,kilometer,Golf,Golf 2.0 TSI R 4Motion,,car,,3,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,1996,91000,kilometer,911,911 Carrera RS Clubsport/993 GT2,,car,,4,
Other,Other,Occasion,CHF,,Diesel,CH,Land Rover,2011,Schaltgetriebe manuell,kilometer,Defender,Defender 90 2.4Td4 SW,,car,,2,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,39800,kilometer,S 65 Amg,S 65 AMG L,,car,,3,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2009,88500,kilometer,Ml 63 Amg,ML 63 AMG 4Matic,,car,,3,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,1998,54500,kilometer,S6,S6 quattro 4.2,,car,,5,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2000,41500,kilometer,F360,F360 Modena Berlinetta,,car,,4,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2004,Automatik-Getriebe,kilometer,Slr,730PS,,car,,6,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,45500,kilometer,Sl 55 Amg,SL 55 AMG,,car,,4,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2002,128000,kilometer,911,911 Carrera Targa,,car,,1,l/100km
Coupé,Gray,Oldtimer,CHF,,Zuzwil,CH,Renault,1972,34900,kilometer,Alpine A110,1600S VC,,car,,7,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,75900,kilometer,Sl 600,SL 600,,car,,2,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2001,74100,kilometer,911,911 Turbo,,car,,8,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2003,Automat,kilometer,S-Class,S 55 L AMG,,car,,2,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,BMW,2002,1600,kilometer,M3,M3,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,1995,89200,kilometer,740,740i,,car,,11,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Lamborghini,2011,4900,kilometer,Gallardo,Gallardo LP560-4 Spyder,,car,,4,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Dodge,1994,37900,kilometer,Viper,null,,car,,4,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,97300,kilometer,S 65 Amg,S 65 AMG L,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,29200,kilometer,E 500,E 500 Avantgarde,,car,,5,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,1997,66300,kilometer,A8,A8 4.2 quattro,,car,,1,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2000,51000,kilometer,Boxster,Boxster S 3.2,,car,,7,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,106000,kilometer,Sl 500,SL 500,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,1997,32500,kilometer,456,456 GTA,,car,,11,l/100km
Other,Gray,Oldtimer,CHF,,Zuzwil,CH,Ford,1966,69377,kilometer,Cortina,Cortina Lotus,,car,,4,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2011,13800,kilometer,Slk 200,SLK 200,,car,,5,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,2000,kilometer,Ml 63 Amg,ML 63 AMG 4Matic,,car,,6,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,130000,kilometer,S 65 Amg,S 65 AMG L,,car,,9,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,1982,238500,kilometer,323,323i,,car,,4,
Other,Other,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,95400,kilometer,Cls 500,CLS 500,,car,,1,l/100km
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Land Rover,1998,42000,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,1999,47700,kilometer,911,911 Carrera 4,,car,,11,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Audi,2003,42600,kilometer,Rs6,RS6 Avant quattro,,car,,6,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Aston Martin,2003,24600,kilometer,V12 Vanquish,Vanquish V12,,car,,1,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,55900,kilometer,Cl 500,CL 500,,car,,11,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,2010,67800,kilometer,530 Gran Turismo,530d GT,,car,,1,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2009,44600,kilometer,911,911 GT2,,car,,5,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,BMW,1995,65400,kilometer,740,740i,,car,,7,
Other,Gray,Oldtimer,CHF,,Zuzwil,CH,BMW,1975,104650,kilometer,,1602,,car,,2,
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Land Rover,1989,151300,kilometer,Range Rover,3.5,,car,,3,
Coupé,Other,Occasion,CHF,,Zuzwil,CH,Renault,1981,153600,kilometer,Alpine,Alpine A310 V6,,car,,5,
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Talbot,1982,182200,kilometer,Matra,Murena 2.2,,car,,4,
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,70400,kilometer,Slk 350,SLK 350,,car,,3,l/100km
Convertible / Roadster,Gray,Oldtimer,CHF,,Zuzwil,CH,Austin-Healey,1960,9999,kilometer,,BT7 3000 Mk I,,car,,1,
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2006,36600,kilometer,Cayenne,Cayenne Turbo S,,car,,8,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Lotus,2002,26800,kilometer,Super Seven,HKT,,car,,9,
SUV,Gray,Occasion,CHF,,Zuzwil,CH,Porsche,2003,59900,kilometer,Cayenne,Cayenne S,,car,,3,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Maserati,2010,29000,kilometer,Quattroporte,Quattroporte 4.7 S,,car,,11,l/100km
Other,Other,Occasion,CHF,,Diesel,CH,Mercedes-Benz,2011,Automat sequentiell,kilometer,S 250,S 250 CDI BlueEff SS,,car,,9,l/100km
Other,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,9900,kilometer,S 320,S 320 CDI,,car,,2,l/100km
Coupé,Gray,Occasion,CHF,,Zuzwil,CH,Ferrari,2000,68000,kilometer,456,456M GTA,,car,,5,l/100km
Convertible / Roadster,Other,Occasion,CHF,,Zuzwil,CH,Lamborghini,2006,16200,kilometer,Murciélago,Murciélago 6.2 Roadster,,car,,1,l/100km
Convertible / Roadster,Gray,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,47300,kilometer,Sl 500,SL 500,,car,,2,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,BMW,2007,114600,kilometer,730,730i,,car,,9,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,BMW,1999,54600,kilometer,M5,M5,,car,,9,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Simca,1976,18200,kilometer,,Rallye2,,car,,11,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,BMW,2002,52900,kilometer,M3,M3,,car,,12,l/100km
SUV,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,13300,kilometer,Ml 63 Amg,ML 63 AMG 4Matic,,car,,3,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Audi,2007,Automatisiertes Schaltgetriebe,kilometer,R8,R8 Coupé 4.2,,car,,9,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1997,44000,kilometer,E 420,E 420 Elégance,,car,,10,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Ferrari,1999,92000,kilometer,456,456M GTA,,car,,8,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,1997,63400,kilometer,A8,A8 4.2 quattro,,car,,10,l/100km
SUV,Other,Occasion,CHF,,Zuzwil,CH,Porsche,2007,36700,kilometer,Cayenne,Cayenne Turbo,,car,,3,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mclaren,2013,16000,kilometer,12C,MP4-12C Spider 3.8 V8,,car,,5,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,BMW,1980,176000,kilometer,323,323i,,car,,10,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,BMW,1987,195800,kilometer,M3,M3,,car,,2,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,BMW,2003,103600,kilometer,Z4,Z4 2.5i Roadster,,car,,3,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Lancia,1984,13000,kilometer,,Rally 037 stradale,,car,,4,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,88500,kilometer,S 600,S 600,,car,,3,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Ferrari,1994,34000,kilometer,348,348 tb,,car,,3,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,62700,kilometer,Sl 63 Amg,SL 63 AMG,,car,,6,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2011,Automatisiertes Schaltgetriebe,kilometer,911,911 Turbo S Cabrio SPEED ART 580PS,,car,,4,l/100km
Other,Green,Occasion,CHF,,Porrentruy,CH,Mercedes-Benz,2011,19900,kilometer,S 500,S 500 L,,car,,9,l/100km
Other,Beige,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,46000,kilometer,S 65 Amg,S 65 L / BRABUS T65 S,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,1996,Automatik-Getriebe,kilometer,,E 60 Carlsson,,car,,11,
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2003,Schaltgetriebe manuell,kilometer,911,911 Turbo,,car,,4,l/100km
Coupé,Green,Occasion,CHF,,Porrentruy,CH,Lamborghini,1995,64800,kilometer,Diablo,Diablo SE 30,,car,,9,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Aston Martin,2010,71300,kilometer,Dbs,DBS Volante,,car,,4,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Bentley,2010,15000,kilometer,Continental,Continental Supersports Conv.,,car,,9,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Lexus,2006,34000,kilometer,Gs,GS 450h,,car,,7,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Fiat,1972,131000,kilometer,Dino,2400 Coupé,,car,,10,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,BMW,2000,140000,kilometer,323,323Ci,,car,,7,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1999,16300,kilometer,Sl 500,SL 500,,car,,4,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,118300,kilometer,Cls 55 Amg,CLS 55 AMG,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Chevrolet,2015,Schaltgetriebe manuell,kilometer,Corvette,Corvette Z06,,car,,6,l/100km
Other,Beige,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,49900,kilometer,E 55 Amg,E 55 AMG Avantgarde,,car,,6,l/100km
Other,Green,Oldtimer,CHF,,Zuzwil,CH,Nsu,1972,10352,kilometer,,TT,,car,,8,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Porsche,2002,77600,kilometer,911,911 Turbo,,car,,2,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,2008,42500,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,10,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,2010,34800,kilometer,S3,S3 2.0 TFSI quattro,,car,,4,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Ferrari,2003,14500,kilometer,575M,NOVITEC,,car,,6,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Ferrari,1992,56500,kilometer,Mondial,Mondial 3.4 T,,car,,5,
Other,Green,Occasion,CHF,,Zuzwil,CH,VW,2002,43900,kilometer,Phaeton,Phaeton 6.0 W12 4Motion,,car,,11,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,16660,kilometer,,CLK DTM AMG,,car,,8,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2003,23700,kilometer,Clk 55 Amg,CLK 55 AMG Avantgarde,,car,,12,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1998,75000,kilometer,E 430,E 430 Avantgarde,,car,,2,l/100km
Other,Beige,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2008,19100,kilometer,Cls 63 Amg,CLS 63 AMG,,car,,12,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2001,50200,kilometer,Cl 55 Amg,CL 55 AMG,,car,,3,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,BMW,1982,211000,kilometer,323,Alpina Look,,car,,2,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Peugeot,2003,72600,kilometer,406,406 Coupé 3.0 V6 Pack,,car,,10,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,BMW,1977,128600,kilometer,633,CSI A,,car,,1,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,43200,kilometer,Slk 320,SLK 320,,car,,5,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,2008,45300,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,12,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,7600,kilometer,Sl 500,SL 500,,car,,5,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2000,29000,kilometer,Cl 600,CL 600,,car,,5,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,1998,94000,kilometer,A6,A6 2.8 Ambiente,,car,,2,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2012,Automatisiertes Schaltgetriebe,kilometer,Ml 63 Amg,ML 63 AMG 4Matic,,car,,1,l/100km
SUV,Beige,Occasion,CHF,,Zuzwil,CH,BMW,2000,40500,kilometer,X5,X5 4.4i,,car,,11,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,12900,kilometer,Sl 600,SL 600,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2007,Schaltgetriebe,kilometer,911,Turbo,,car,,2,
SUV,Green,Occasion,CHF,,Zuzwil,CH,Land Rover,1998,70000,kilometer,Range Rover,Range Rover 4.6 HSE,,car,,10,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,33400,kilometer,Sl 55 Amg,SL 55 AMG,,car,,5,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1981,81900,kilometer,Alfasud,Alfasud 1.5 ti,,car,,8,
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,99500,kilometer,S 600,S 600,,car,,4,
Convertible / Roadster,Green,Occasion,CHF,,Sursee,CH,Ferrari,1974,5000,kilometer,Dino,246 GTS,,car,,3,
Other,Green,Occasion,CHF,,Zuzwil,CH,Audi,1998,55000,kilometer,S8,S8 4.2 quattro,,car,,7,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Chevrolet,2009,6300,kilometer,Corvette,Corvette ZR1,,car,,6,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Porsche,2007,20900,kilometer,911,911 GT2,,car,,12,l/100km
Convertible / Roadster,Beige,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,34000,kilometer,Sl 500,SL 500,,car,,6,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2009,84000,kilometer,Sl 63 Amg,SL 63 AMG,,car,,1,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Renault,1977,91000,kilometer,Alpine A110,null,,car,,7,
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Ferrari,2003,53600,kilometer,F360,F360 Spider,,car,,3,l/100km
Coupé,Green,Occasion,CHF,,Zuzwil,CH,Porsche,2004,47500,kilometer,911,911 Turbo,,car,,1,l/100km
Other,Green,Occasion,CHF,,Zuzwil,CH,BMW,2005,33600,kilometer,M5,M5,,car,,8,l/100km
Convertible / Roadster,Green,Occasion,CHF,,Zuzwil,CH,Saab,2003,138000,kilometer,9-3,9-3 2.0i-16 T SE,,car,,5,l/100km
Other,Orange,Occasion,CHF,,Zuzwil,CH,Maserati,2006,33600,kilometer,Quattroporte,Quattroporte 4.2 Exec. GT,,car,,3,l/100km
Coupé,Orange,Occasion,CHF,,Zuzwil,CH,Alfa Romeo,1984,584,kilometer,Gtv,6 2.5,,car,,6,
Convertible / Roadster,Orange,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1992,89100,kilometer,,SL 60,,car,,12,
Coupé,Orange,Occasion,CHF,,Zuzwil,CH,Porsche,2007,5000,kilometer,911,GT3 CUP Rennwagen,,car,,1,
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,32000,kilometer,Sl 55 Amg,SL 55 AMG,,car,,10,l/100km
Coupé,Orange,Occasion,CHF,,Porrentruy,CH,Lamborghini,1996,7000,kilometer,Diablo,SV-R Race,,car,,0,
Other,Red,Occasion,CHF,,Zuzwil,CH,Bentley,1990,60100,kilometer,Turbo,Turbo R,,car,,5,
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2008,9650,kilometer,911,911 Turbo,,car,,7,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Maserati,2005,41800,kilometer,Coupé Gt,Coupé GT,,car,,3,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,140200,kilometer,E 350,E 350 Elégance 4Matic,,car,,4,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2005,22100,kilometer,Sl 65 Amg,SL 65 AMG,,car,,5,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Ferrari,2001,58000,kilometer,F360,F360 Spider,,car,,5,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2004,20900,kilometer,Sl 600,SL 600,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Mercedes-Benz,2002,Automat,kilometer,Sl 55 Amg,SL 55 AMG,,car,,5,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,2008,112400,kilometer,Rs6,RS6 Avant 5.0 V10 quattro 730PS,,car,,7,l/100km
Other,Blue,Occasion,CHF,,Zuzwil,CH,Audi,2000,185900,kilometer,S4,S4 Avant quattro,,car,,7,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Porsche,1990,148600,kilometer,944,944 S2 Cabriolet ABS,,car,,4,
Other,Other,Occasion,CHF,,Benzin,CH,Dodge,2001,Schaltgetriebe,kilometer,Viper,RT/10,,car,,12,
SUV,Red,Occasion,CHF,,Zuzwil,CH,Land Rover,2003,90400,kilometer,Range Rover,Range Rover 4.4 V8 HSE,,car,,12,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,2003,47000,kilometer,Rs6,RS6 Avant quattro,,car,,9,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Ferrari,1998,67000,kilometer,F355,F355 Spider,,car,,10,l/100km
SUV,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2007,78400,kilometer,Cayenne,Cayenne S,,car,,9,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2013,4900,kilometer,S 63 Amg,S 63 AMG,,car,,10,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Porsche,1998,58200,kilometer,911,911 Carrera,,car,,1,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Aston Martin,2006,41000,kilometer,Db9,DB9 Volante,,car,,5,l/100km
Other,Other,Occasion,CHF,,Benzin,CH,Opel,2003,Schaltgetriebe manuell,kilometer,Speedster,Speedster 2.0 16V Turbo,,car,,6,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,Lamborghini,2002,16000,kilometer,Murciélago,Murciélago 6.2 Coupé,,car,,5,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Audi,2009,89000,kilometer,Rs6,RS6 Avant 5.0 V10 quattro,,car,,3,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2014,9900,kilometer,911,911 Turbo S Cabrio,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,20100,kilometer,E 63 Amg,E 63 AMG CGI,,car,,1,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,BMW,1998,63000,kilometer,740,740i,,car,,2,l/100km
SUV,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2003,79000,kilometer,Cayenne,Cayenne Turbo,,car,,3,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Ferrari,2007,45000,kilometer,F430,F430,,car,,3,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2002,36800,kilometer,Sl 500,SL 500,,car,,6,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Porsche,1995,96000,kilometer,911,911 Carrera 4 Ruf Turbo BTR 2 420 PS,,car,,4,
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Mitsubishi,1983,114800,kilometer,Starion,Starion 2000 Turbo,,car,,4,
Other,Other,Occasion,CHF,,Benzin,CH,Porsche,2004,Schaltgetriebe manuell,kilometer,911,911 Turbo Cabrio,,car,,1,l/100km
Coupé,Blue,Occasion,CHF,,Zuzwil,CH,BMW,2002,81900,kilometer,330,330Ci,,car,,3,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Bentley,1986,101500,kilometer,Mulsanne,Turbo,,car,,9,
Other,Red,Occasion,CHF,,Zuzwil,CH,Chrysler,2007,47100,kilometer,300C,300C T 5.7 HEMI V8,,car,,1,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Saab,2005,104400,kilometer,9-3,9-3 2.0T Performance,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Volvo,2002,83000,kilometer,V70,V70 2.4T,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,VW,2008,84600,kilometer,Phaeton,Phaeton 3.0 TDi V6 4M,,car,,7,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2006,43700,kilometer,C 350,C 350 Elégance 4Matic,,car,,11,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,BMW,1999,29800,kilometer,M5,M5,,car,,4,l/100km
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,68900,kilometer,Sl 600,SL 600,,car,,5,
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Porsche,1998,73200,kilometer,Boxster,Boxster 2.5,,car,,3,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1996,36600,kilometer,Cl 600,CL 600,,car,,1,l/100km
Convertible / Roadster,Blue,Occasion,CHF,,Zuzwil,CH,Triumph,1974,38000,kilometer,Spitfire,MK IV,,car,,3,
Other,Red,Occasion,CHF,,Zuzwil,CH,Rolls-Royce,1978,30900,kilometer,Silver Shadow,II,,car,,6,
Other,Red,Occasion,CHF,,Zuzwil,CH,Jaguar,2001,95100,kilometer,Xj,XJR 4.0 V8 S/C,,car,,1,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Bentley,2002,62000,kilometer,Arnage,Arnage T,,car,,5,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2007,99999,kilometer,Cl 600,CL 600,,car,,4,l/100km
Other,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2010,29000,kilometer,E 63 Amg,E 63 AMG,,car,,1,l/100km
Coupé,Red,Oldtimer,CHF,,Zuzwil,CH,Marcos,1968,85000,kilometer,,1600 GT,,car,,4,
Convertible / Roadster,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,1993,117900,kilometer,Sl 500,SL 500,,car,,4,
Other,Red,Occasion,CHF,,Zuzwil,CH,Renault,2000,99,kilometer,Clio,Rennwagen,,car,,2,
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Renault,1982,82400,kilometer,Alpine,V6,,car,,11,
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Porsche,2001,21100,kilometer,911,GT3 CS,,car,,1,
SUV,Blue,Occasion,CHF,,Zuzwil,CH,Lincoln,2003,130000,kilometer,Navigator,32 V,,car,,3,
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Ferrari,2004,28000,kilometer,575M,575M,,car,,1,l/100km
Coupé,Red,Occasion,CHF,,Zuzwil,CH,Mercedes-Benz,2012,43000,kilometer,Sl 65 Amg,BLACK SERIES,,car,,4,
